Avg,Stdev,A Dist,Avg,Stdev,A Dist,Avg,Stdev,A Dist,Avg,Stdev,A Dist
759.47124183,102.122082028,30.3788496732,635.949019608,634.701305464,25.4379607843,534.625666667,992.471168538,21.8214557823,557.963,113.08449092,22.774
697.231372549,157.135046442,27.889254902,608.533333333,673.631305755,24.3413333333,534.871,"1,004.13207632",21.8314693878,558.397666667,116.838539789,22.7917414966
779.035294118,147.725814188,31.1614117647,591.485620915,723.603804921,23.6594248366,523.831666667,965.938467462,21.3808843537,542.980333333,150.800776147,22.162462585
792.160130719,165.060386078,31.6864052288,653.592810458,746.14683926,26.1437124183,535.267,"1,017.09352003",21.8476326531,560.264333333,136.605696083,22.8679319728
731.424836601,114.977104816,29.2569934641,605.316993464,658.53419751,24.2126797386,518.078,939.613937038,21.1460408163,539.866666667,98.3870596731,22.0353741497
634.952287582,223.918583572,25.3980915033,594.387581699,636.793686296,23.775503268,519.455333333,949.974496832,21.2022585034,539.578,156.502276618,22.0235918367
810.499346405,135.47392756,32.4199738562,642.217647059,885.719174015,25.6887058824,518.343,986.654772968,21.1568571429,539.541,154.958439525,22.0220816327
949.691503268,195.120952355,37.9876601307,667.260130719,777.441152704,26.6904052288,536.308,"1,034.13920114",21.890122449,561.515333333,125.095328663,22.9189931973
718.51503268,180.922770245,28.7406013072,654.661437908,768.687504746,26.1864575163,524.789666667,987.095193404,21.4199863946,547.669666667,104.414476423,22.3538639456
783.137908497,242.207031029,31.3255163399,672.346405229,503.624739176,26.8938562092,528.324666667,"1,006.98167359",21.5642721088,552.128666667,147.771512245,22.5358639456
795.279738562,169.896517493,31.8111895425,641.535947712,771.592676485,25.6614379085,542.844333333,"1,049.73170495",22.1569115646,568.569,111.080655492,23.2068979592
827.441176471,256.833083072,33.0976470588,694.385620915,655.677502391,27.7754248366,533.270666667,978.782755258,21.7661496599,556.111333333,196.897425546,22.6984217687
765.81503268,166.560183618,30.6326013072,627.838562092,631.386817326,25.1135424837,521.921,977.255313224,21.3028979592,544.155,138.913996055,22.2104081633
818.393464052,202.387056032,32.7357385621,687.164052288,897.523776021,27.4865620915,524.908,"1,030.08705762",21.4248163265,551.484,144.843225715,22.5095510204
908.57124183,161.409820107,36.3428496732,618.018954248,863.369268863,24.7207581699,533.609333333,978.76874365,21.7799727891,557.227333333,151.377295201,22.7439727891
761.754901961,155.30656392,30.4701960784,634.488235294,708.858364229,25.3795294118,519.888,995.938084582,21.2199183673,542.714,135.670780904,22.1515918367
812.108496732,126.972272224,32.4843398693,651.062091503,700.696784318,26.0424836601,536.926,"1,000.19613894",21.9153469388,560.31,122.600567155,22.8697959184
853.482352941,151.529398684,34.1392941176,633.037254902,810.334620299,25.3214901961,539.580333333,997.536333149,22.0236870748,563.443666667,121.478628564,22.9977006803
828.656862745,211.008153024,33.1462745098,657.240522876,811.34145932,26.289620915,534.060333333,"1,059.15126455",21.7983809524,559.513,193.68244697,22.8372653061
787.297385621,162.420546137,31.4918954248,639.975163399,746.587143085,25.5990065359,525.246666667,966.262267365,21.4386394558,548.136666667,135.913695655,22.3729251701
790.745980392,171.449364631,31.6298392157,640.524869281,730.31260611,25.6209947712,529.307,995.890208531,21.604385034,552.578433333,137.8458656672,22.5542217687
End Test of p = 50,,,,,,,,,,,
"1,541.46470588",209.393920278,30.5240535818,"1,295.58464052","1,018.89960567",25.6551413965,"1,064.83866667","1,388.25823863",21.5118922559,"1,120.50933333",164.744872239,22.6365521886
"1,532.5120915",202.247652254,30.3467740892,"1,218.22189542","1,236.69336696",24.12320585,"1,072.04766667","1,424.78261904",21.6575286195,"1,131.95033333",136.210806428,22.8676835017
"1,609.48986928",270.931905285,31.8710865204,"1,340.11078431",725.38776889,26.5368472141,"1,065.70933333","1,384.58497349",21.5294814815,"1,121.23",94.2404569881,22.6511111111
"1,604.40457516",210.517324592,31.770387627,"1,205.71470588",898.169062618,23.8755387303,"1,045.374","1,437.15222863",21.1186666667,"1,104.90666667",139.141930816,22.3213468013
"1,491.04052288",185.656405875,29.5255549084,"1,322.56928105","1,035.97548121",26.1894907138,"1,065.295","1,382.73572677",21.5211111111,"1,123.549",142.209704861,22.697959596
"1,370.4379085",93.3532962759,27.1373843267,"1,178.27287582","1,072.97020381",23.3321361548,"1,041.66033333","1,329.94652233",21.0436430976,"1,093.80566667",137.714805792,22.0970841751
"1,756.52581699",146.191113158,34.7826894454,"1,213.93954248","1,103.74916647",24.0384067819,"1,048.076","1,428.96431679",21.1732525253,"1,108.44333333",147.009458955,22.3927946128
"1,389.52418301",162.814315753,27.5153303566,"1,142.65555556",943.702123862,22.6268426843,"1,059.782","1,362.81311944",21.4097373737,"1,113.30133333",87.1159233053,22.4909360269
"1,450.38366013",148.47159672,28.7204685174,"1,150.27418301",955.949159058,22.7777065942,"1,069.80833333","1,344.79758499",21.6122895623,"1,117.94233333",154.728576406,22.5846936027
"1,449.24084967",163.953689419,28.6978386074,"1,268.62810458","1,254.992184",25.1213486054,"1,057.712","1,369.44204361",21.3679191919,"1,111.43333333",142.706224267,22.4531986532
"1,076.93333333",187.516367788,21.3254125413,"1,305.89019608","1,071.88264609",25.8592118035,"1,063.707","1,433.54467208",21.489030303,"1,122.64633333",181.148487371,22.6797239057
"1,524.08464052",195.202243247,30.1798938717,"1,279.26405229",787.30996158,25.3319614314,"1,043.72533333","1,327.64225311",21.0853602694,"1,091.11666667",194.914737998,22.0427609428
"1,409.47581699",116.414411586,27.9104122177,"1,316.90849673",692.218433371,26.0773959749,"1,065.793","1,427.01751737",21.5311717172,"1,122.16233333",170.065874103,22.6699461279
"1,480.26732026",137.143740607,29.3122241636,"1,237.12614379","1,076.34856001",24.4975474018,"1,080.777","1,391.25724204",21.8338787879,"1,134.99633333",121.316458941,22.9292188552
"1,488.97156863",235.364519971,29.4845855174,"1,232.81372549","1,146.98823334",24.41215298,"1,068.27833333","1,394.51251472",21.5813804714,"1,122.52833333",159.251837265,22.6773400673
"1,402.79705882",214.812083167,27.7781595807,"1,238.51764706",985.516524094,24.525101922,"1,065.93966667","1,367.57397014",21.5341346801,"1,114.53433333",127.50967345,22.5158451178
"1,492.34803922",181.554337811,29.5514463211,"1,216.78856209","1,164.87334354",24.0948230117,"1,082.929","1,381.4510629",21.8773535354,"1,134.359",211.531687621,22.9163434343
"1,488.44052288",231.36920259,29.4740697599,"1,233.89901961","1,288.61034283",24.4336439526,"1,066.76233333","1,340.83020468",21.5507542088,"1,115.72766667",183.558205728,22.539952862
"1,519.1",227.934736161,30.0811881188,"1,300.54771242","1,013.69965653",25.7534200479,"1,063.845","1,373.89021963",21.4918181818,"1,115.533",133.22003415,22.536020202
"1,044.65751634",286.615816097,20.6862874523,"1,389.61470588","1,213.08249093",27.5171228888,"1,068.885","1,455.19045369",21.5936363636,"1,128.24766667",200.058150049,22.7928821549
"1,456.105",190.37293393,28.83376238,"1,254.3670915","1,034.35091574",24.83895231,"1,063.04725","1,387.3193742",21.47570202,"1,117.44615",151.41989534,22.574669702826.22421227
end of test with p = 100,,,,,,,,,,,
"3,101.52504146",102.62625418,31.0152504146,"2,486.8013267","1,435.24411692",24.868013267,"2,200.387","1,821.25247875",22.1144422111,"2,300.19633333",50.4738217847,23.1175510888
"2,852.48490879",33.2186369905,28.5248490879,"2,356.8172471","1,391.28644852",23.568172471,"2,191.338","1,937.23911111",22.0234974874,"2,298.318",112.635887497,23.0986733668
"2,924.47495854",239.423059593,29.2447495854,"2,612.4252073","1,332.15842244",26.124252073,"2,113.39466667","1,931.21843442",21.2401474037,"2,226.20266667",128.663705095,22.3738961474
"3,148.373466",229.935001469,31.48373466,"2,824.97313433","1,257.00805678",28.2497313433,"2,131.49633333","1,891.74888782",21.4220737018,"2,238.693",115.955746022,22.4994271357
"2,914.7681592",56.1438460661,29.147681592,"2,361.75124378",712.911125637,23.6175124378,"2,099.01566667","1,788.88237689",21.0956348409,"2,196.60366667",143.830289412,22.0764187605
"2,939.73996683",237.272517427,29.3973996683,"2,315.67628524","1,195.26680405",23.1567628524,"2,141.09433333","1,932.4963967",21.5185360134,"2,258.00033333",147.193945686,22.6934706868
"3,606.70646766",164.127790229,36.0670646766,"2,655.90580431","1,502.53084467",26.5590580431,"2,111.44566667","1,973.22463567",21.220559464,"2,223.053",169.549872889,22.342241206
"2,964.96583748",162.099840582,29.6496583748,"2,713.50713101","1,362.05898171",27.1350713101,"2,149.20566667","1,885.41395202",21.6000569514,"2,258.183",57.1138080892,22.6953065327
"2,964.4066335",53.6031471541,29.644066335,"2,722.67330017","1,021.29652568",27.2267330017,"2,113.93366667","1,967.79190804",21.2455644891,"2,229.365",107.067006226,22.405678392
